aalib 1.4rc5-12
sane 1.0.27-1
sbc 1.3-1
sdl 1.2.15-9
sdl2 2.0.8-8
seabios 1.11.0-1
sed 4.5-1
semver 5.5.0-1
shadow 4.5-4
shared-color-targets 0.1.7-1
shared-mime-info 1.9-1
simple-scan 3.28.1-2
slang 2.3.2-1
smbclient 4.8.1-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
spandsp 0.0.6-1
speech-dispatcher 0.8.8-1
speex 1.2.0-1
speexdsp 1.2rc3-2
spice 0.14.0-2
spice-gtk 0.34-1
sqlite 3.23.1-1
srt 1.3.0-2
startup-notification 0.12-5
sudo 1.8.22-1
sushi 3.28.3-1
sysfsutils 2.1.0-9
systemd 238.76-1
systemd-sysvcompat 238.76-1
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.13-1
tar 1.30-1
tcl 8.6.8-3
tdb 1.3.15-1
telepathy-glib 0.24.1-1
tevent 1:0.9.36-1
texinfo 6.5-1
thin-provisioning-tools 0.7.6-1
totem 3.26.0+37+g84700147-1
totem-plparser 3.26.0+11+g0091a56-1
tracker 2.0.3-2
tracker-miners 2.0.4-2
ttf-croscore 20180322-1
ttf-dejavu 2.37-2
ttf-fira-mono 2:3.206-2
ttf-fira-sans 1:4.202-2
ttf-google-fonts-git 1:r1249.98670058-1
ttf-inconsolata 1:2.0.0.1-3
ttf-merriweather 1:2.003-1
ttf-merriweather-sans 1.006-4
ttf-opensans 1.101-1
ttf-oswald 4.100-2
ttf-quintessential 1.001-4
ttf-roboto 2.138-1
ttf-signika 1.002-2
ttf-ubuntu-font-family 0.83-3
twolame 0.3.13-8
tzdata 2018d-1
udisks2 2.7.6-1
unzip 6.0-12
upower 0.99.7-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbredir 0.7.1-1
usbutils 009-1
util-linux 2.32-3
v4l-utils 1.14.2-1
vde2 2.3.2-10
vi 1:070224-2
vid.stab 1.1-1
vim-runtime 8.0.1542-2
vino 3.22.0+7+g74dd40f-1
virglrenderer 0.6.0-1
volume_key 0.3.9-5
vte-common 0.52.1-1
vte3 0.52.1-1
vulkan-icd-loader 1.1.73.0-1
wavpack 5.1.0-2
wayland 1.14.0-1
wayland-protocols 1.13-1
webkit2gtk 2.20.1-1
webrtc-audio-processing 0.3-2
which 2.21-2
wildmidi 0.4.2-1
woff2 1.0.2-1
wpa_supplicant 1:2.6-11
x265 2.7-1
xcb-proto 1.13-1
xcb-util 0.4.0-1
xclip 0.13-1
xdg-user-dirs 0.17-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-1
xf86-input-libinput 0.27.1-1
xf86-video-intel 1:2.99.917+829+gd7dfab62-1
xfce4-terminal 0.8.7.3-1
xfconf 4.12.1-4
xfsprogs 4.15.1-1
xkeyboard-config 2.23.1-3
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-encodings 1.0.4-4
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.3-1
xorg-server 1.19.6+13+gd0d1a694f-2
xorg-server-common 1.19.6+13+gd0d1a694f-2
xorg-server-xwayland 1.19.6+13+gd0d1a694f-2
xorg-setxkbmap 1.3.1-1
xorg-xhost 1.0.7-1
xorg-xkbcomp 1.4.1-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorgproto 2018.4-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-1
yarn 1.6.0-1
yay 6.727-2
yelp 3.28.1-1
yelp-xsl 3.28.0-1
zenity 3.28.1-1
zeromq 4.2.2-2
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.6.0-2
zlib 1:1.2.11-2
zsh 5.5.1-1
zstd 1.3.4-1
zvbi 0.2.35-1
